County;County FIPS 5;State;Number of Records
Albany;36001;New York;1
Allegany;36003;New York;1
Bronx;36005;New York;1
Broome;36007;New York;1
Cattaraugus;36009;New York;1
Cayuga;36011;New York;1
Chautauqua;36013;New York;1
Chemung;36015;New York;1
Chenango;36017;New York;1
Clinton;36019;New York;1
Columbia;36021;New York;1
Cortland;36023;New York;1
Delaware;36025;New York;1
Dutchess;36027;New York;1
Erie;36029;New York;1
Essex;36031;New York;1
Franklin;36033;New York;1
Fulton;36035;New York;1
Genesee;36037;New York;1
Greene;36039;New York;1
Hamilton;36041;New York;1
Herkimer;36043;New York;1
Jefferson;36045;New York;1
Kings;36047;New York;1
Lewis;36049;New York;1
Livingston;36051;New York;1
Madison;36053;New York;1
Monroe;36055;New York;1
Montgomery;36057;New York;1
Nassau;36059;New York;1
New York;36061;New York;1
Niagara;36063;New York;1
Oneida;36065;New York;1
Onondaga;36067;New York;1
Ontario;36069;New York;1
Orange;36071;New York;1
Orleans;36073;New York;1
Oswego;36075;New York;1
Otsego;36077;New York;1
Putnam;36079;New York;1
Queens;36081;New York;1
Rensselaer;36083;New York;1
Richmond;36085;New York;1
Rockland;36087;New York;1
St Lawrence;36089;New York;1
Saratoga;36091;New York;1
Schenectady;36093;New York;1
Schoharie;36095;New York;1
Schuyler;36097;New York;1
Seneca;36099;New York;1
Steuben;36101;New York;1
Suffolk;36103;New York;1
Sullivan;36105;New York;1
Tioga;36107;New York;1
Tompkins;36109;New York;1
Ulster;36111;New York;1
Warren;36113;New York;1
Washington;36115;New York;1
Wayne;36117;New York;1
Westchester;36119;New York;1
Wyoming;36121;New York;1
Yates;36123;New York;1
