Federal State;Geometry;Latitude (generated);Longitude (generated)
Thüringen;;;
Schleswig-Holstein;MultiPolygon;54,092972763;10,072869018
Sachsen-Anhalt;MultiPolygon;51,941029905;11,574522754
Sachsen;MultiPolygon;51,032330197;13,284290363
Saarland;MultiPolygon;49,357470345;6,949786007
Rheinland-Pfalz;MultiPolygon;49,961054415;7,420806440
Nordrhein-Westfalen;MultiPolygon;51,409543987;7,380651621
Niedersachsen;MultiPolygon;52,432493326;9,032762261
Mecklenburg-Vorpommern;;;
Hessen;MultiPolygon;50,510473827;8,905378397
Hamburg;MultiPolygon;53,586885188;9,994616076
Bremen;Polygon;53,073346539;8,848572594
Brandenburg;;;
Berlin;MultiPolygon;52,502311462;13,412917179
Bayern;MultiPolygon;48,947197106;11,433004652
Baden-Württemberg;MultiPolygon;48,430951607;9,034035262
;MultiPolygon;52,283407675;10,803964459
