State;Hectares
Alabama;13576700
Alaska;172333700
Arizona;29523400
Arkansas;13773200
California;42396700
Colorado;26960100
Connecticut;1435700
Delaware;644600
District of Columbia;17700
Florida;17031200
Georgia;15391000
Hawaii;2831300
Idaho;21664300
Illinois;14999500
Indiana;9432600
Iowa;14574600
Kansas;21310000
Kentucky;10465600
Louisiana;13565900
Maine;9163300
Maryland;3213100
Massachusetts;2733600
Michigan;25048700
Minnesota;22516300
Mississippi;12543800
Missouri;18054000
Montana;38083100
Nebraska;20033000
Nevada;28638000
New Hampshire;2421400
New Jersey;2259100
New Mexico;31491700
New York;14129700
North Carolina;13939100
North Dakota;18310800
Ohio;11609800
Oklahoma;18103700
Oregon;25479900
Pennsylvania;11928000
Rhode Island;400100
South Carolina;8293300
South Dakota;19972900
Tennessee;10915300
Texas;69566200
Utah;21988200
Vermont;2490600
Virginia;11078700
Washington;18466100
West Virginia;6275600
Wisconsin;16963500
Wyoming;25333500
